제품명,Codex 분류 메모,Figma 노출 순서,Figma 반영 상태,SERKAN Code,검수 상태,공식 링크,등록일,분류 확신도,브랜드,세르칸핏,연결 섹션 코드,이미지 상태,제품 사진,제품군,추천 대상,추천 이유 한 줄,카테고리,태그,트렌드 근거,협찬 가능성
스킨1004 마다가스카르 센텔라 앰플,,,,SR26-SK-BR-P011,검수 필요,https://skin1004.com/,2026년 5월 29일 오후 2:17,,스킨1004,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/215/484/009/868b54814bb84bf6ab27d0eaae33f15f.jpg,장벽케어,,,피부관리,,센텔라 기반 진정 케어가 민감 피부와 해외 K뷰티 양쪽에서 강세.,보통
리쥬란 힐러 턴오버 앰플,누끼 이미지 필요. 현재 이미지는 본품과 패키지가 함께 있는 구성컷이라 제품 단독 컷 기준에 맞지 않음. SR26-SK-AG Item Encyclopedia/Card 영역도 확인되지 않음.,,수정 필요,SR26-SK-AG-P014,승인,https://rejurancos.com/,2026년 5월 29일 오후 2:17,,리쥬란,3,,일반 제품컷 있음,https://img.danuri.io/catalog-image/572/266/019/ab4e1d09903440ab8bd2866fb510c61f.jpg,슬로우에이징,,,피부관리,,시술 후 회복과 홈케어를 연결하는 슬로우에이징 관심이 커짐.,보통
LG 프라엘 더마쎄라,,,,SR26-SK-HD-P016,검수 필요,https://www.lge.co.kr/beauty-device,2026년 5월 29일 오후 2:17,,LG전자,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/626/951/018/e003137f82d34da9872eb456433bc0a1.jpg,홈케어디바이스,,,피부관리,,가전 브랜드 신뢰도와 홈케어 디바이스 시장이 만나는 후보.,높음
달바 화이트 트러플 퍼스트 스프레이 세럼,Figma node 1:3 아래 SR26-SK-AG Item Encyclopedia/Card 영역이 없어 신규 섹션 후보로 분류. 이미지는 흰 배경 단독 제품컷으로 확인.,,신규 섹션 후보,SR26-SK-AG-P012,승인,https://dalba.co.kr/,2026년 5월 29일 오후 2:17,,달바,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/896/674/004/f57069fd811a4ef59307903025cd66b8.jpg,슬로우에이징,건조한 사무실에 오래 있는 사람; 세럼을 덧바르기 번거로운 사람; 광이 죽으면 얼굴이 피곤해 보이는 사람,"오후에 얼굴이 바짝 마르는 날, 책상 위에서 보습감을 가볍게 다시 올려준다.",피부관리,"슬로우에이징, 미스트세럼, 사무실보습",미스트형 세럼은 건조한 사무실과 이동 중 보습 콘텐츠에 적합.,보통
토리든 솔리드인 세라마이드 립 에센스,,,,SR26-SK-LP-P019,검수 필요,https://www.torriden.com/,2026년 5월 29일 오후 2:17,,토리든,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/384/693/014/d1dfa53e4eec495691a78699631131c9.jpg,립케어,,,피부관리,,입술 건조와 장벽 케어를 작고 쉬운 루틴으로 제안 가능.,보통
닥터지 레드 블레미쉬 클리어 수딩 크림,,,,SR26-SK-BR-P018,검수 필요,https://www.dr-g.co.kr/,2026년 5월 29일 오후 2:17,,닥터지,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/448/856/012/f95956c12d0c4cd4ab265bc64288d92a.jpg,장벽케어,,,피부관리,,여드름성 피부와 민감 피부 모두 접근 가능한 수딩 크림 포지션.,높음
탬버린즈 퍼퓸 밤 카모,,,,SR26-ST-FR-P028,검수 필요,https://www.tamburins.com/,2026년 5월 29일 오후 2:19,,탬버린즈,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/766/454/018/1ae0cceb07864ed6b69b10f2c1f9f0aa.jpg,향수,,,스타일관리,,휴대성과 디자인성을 갖춘 향 제품은 선물과 취향 콘텐츠로 확장 가능.,보통
다슈 클래식 볼륨 그루밍 토닉,,,,SR26-ST-HS-P026,검수 필요,https://dashu.co.kr/,2026년 5월 29일 오후 2:19,,다슈,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/487/962/092/50c5f64bff8549dc87e16456c98ee492.jpg,헤어스타일링,,,스타일관리,,남성 헤어 볼륨과 손쉬운 스타일링은 반복 콘텐츠화가 쉬움.,높음
어노브 딥 데미지 트리트먼트 EX,"SR26-ST-HR base는 있으나 헤어 트리트먼트 Item Encyclopedia 섹션이 없고, 기존 placeholder는 이미지/추천문 구조가 없는 검수용 카드라 자동 복제 배치 보류. 이미지는 흰 배경 단독 제품컷으로 확인.",,신규 섹션 후보,SR26-ST-HR-P024,승인,https://unove.co.kr/,2026년 5월 29일 오후 2:19,,어노브,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/962/691/017/804681ec07fd4e78823413a9409ef62e.jpg,헤어케어,염색이나 펌 뒤 머리끝이 갈라지는 사람; 드라이 후 부스스함이 남는 사람; 트리트먼트를 집에서 챙기는 사람,"드라이 후 끝이 빗자루처럼 퍼지는 날, 머릿결이 덜 거칠어 보이게 정리해준다.",스타일관리,"헤어케어, 손상모, 트리트먼트",염색과 펌 이후 손상모 홈케어 수요가 꾸준함.,보통
그라펜 제주 해수 포마드,,,,SR26-ST-HS-P027,검수 필요,https://grafen.co.kr/,2026년 5월 29일 오후 2:19,,그라펜,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/862/114/004/f57f9e9baea7417183a5a566377849df.jpg,헤어스타일링,,,스타일관리,,깔끔한 포멀 헤어를 위한 남성 스타일링 제품 수요가 있음.,보통
아로마티카 로즈마리 스칼프 스케일링 샴푸,,,,SR26-ST-HP-P021,검수 필요,https://aromatica.co.kr/,2026년 5월 29일 오후 2:19,,아로마티카,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/238/885/013/66c96780f5274b3d8bf13f95f7f0c088.jpg,두피케어,,,스타일관리,,헤어케어가 K뷰티 성장 축으로 확장되고 두피 스케일링 니즈가 커짐.,높음
미쟝센 퍼펙트 세럼 오리지널,,,,SR26-ST-HR-P025,검수 필요,https://www.miseenscene.com/,2026년 5월 29일 오후 2:19,,미쟝센,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/185/231/018/58d206270a7349a1a1d7465532896b93.jpeg,헤어케어,,,스타일관리,,헤어 세럼은 가격 접근성이 좋고 즉각적인 전후 비교 콘텐츠에 적합.,보통
그랑핸드 수지살몬 오 드 퍼퓸,누끼 이미지 필요. 현재 이미지는 단독 제품은 보이나 질감 있는 촬영 배경과 그림자가 있어 백과사전 카드용 흰/투명 배경 단독컷 기준에 맞지 않음. SR26-ST-FR Item Encyclopedia/Card 영역도 확인되지 않음.,,수정 필요,SR26-ST-FR-P030,승인,https://granhand.com/,2026년 5월 29일 오후 2:19,,그랑핸드,4,,일반 제품컷 있음,https://en.granhand.com/web/product/big/202510/d1500f411f5be071be1d323e0f05457a.jpg,향수,,,스타일관리,,니치 향과 공간·개인 이미지 관리가 콘텐츠 소재로 좋음.,보통
닥터포헤어 폴리젠 샴푸,,,,SR26-ST-HP-P022,검수 필요,https://drforhair.co.kr/,2026년 5월 29일 오후 2:19,,닥터포헤어,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/956/637/009/1e16f55d5b154408b19c8c65457739e7.jpg,두피케어,,,스타일관리,,탈모 완화와 두피 건강은 남성 자기관리에서 직접적인 관심사.,높음
라보에이치 두피강화 샴푸,,,,SR26-ST-HP-P023,검수 필요,https://www.laboh.co.kr/,2026년 5월 29일 오후 2:19,,라보에이치,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/466/579/016/666c3970d1d746ff959af1fbf8ca36d5.jpg,두피케어,,,스타일관리,,두피를 피부처럼 관리하는 스칼프케어 관점이 대중화됨.,높음
논픽션 젠틀나잇 핸드크림,,,,SR26-BD-BC-P029,검수 필요,https://nonfiction.com/,2026년 5월 29일 오후 2:19,,논픽션,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/540/391/016/e2d09d54fb8d4a669dc4006db6f14238.jpg,바디케어,,,바디관리,,향과 보습을 결합한 핸드케어는 선물성과 루틴성이 모두 있음.,보통
닥터브로너스 퓨어 캐스틸 솝 라벤더,,,,SR26-BD-BC-P031,검수 필요,https://www.drbronner.co.kr/,2026년 5월 29일 오후 2:22,,닥터브로너스,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/378/627/001/4df3d6339c034396bfdbbd28687895ea.jpg,바디케어,,,바디관리,,성분 단순성과 멀티유즈 바디워시 관심이 꾸준함.,보통
브라운 시리즈9 프로 플러스 전기면도기,"토큰 교체 후 REST health check 통과. 이미지 시각 확인: 패키지, 홍보 문구, 구성품, 모델 얼굴이 함께 보여 누끼/단독컷 기준 미충족. 누끼 이미지 필요. 추가로 Figma node 1:3 아래 SR26-BD-SH base code 섹션도 확인되지 않음.",,수정 필요,SR26-BD-SH-P037,승인,https://kr.braun.com/,2026년 5월 29일 오후 2:22,,브라운,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/127/892/099/4785f7565a2541c681c3011634efa4c6.jpg,체모·면도,,,바디관리,,고가 그루밍 디바이스는 협찬 제안서와 사용성 리뷰 모두 적합.,높음
유세린 우레아 리페어 플러스 로션,,,,SR26-BD-BC-P034,검수 필요,https://www.eucerin.co.kr/,2026년 5월 29일 오후 2:22,,유세린,4,,일반 제품컷 있음,https://images-1.eucerin.com/~/media/eucerin%20relaunch%20media/eucerin/international/products/urea-repair/packshot-2020-facelift/urea-repair-plus-10-urea-lotion/urearepairplusurearepairplus10urealotion032020packshotbvpng2000x2000.webp?rx=0&ry=0&rw=2000&rh=2000&hash=FD38BB94F75587FFAE05A9D98233768D,바디케어,,,바디관리,,우레아 성분 기반 각질·건조 케어는 성분 설명 콘텐츠에 적합.,보통
바이오더마 아토덤 인텐시브 밤,Figma node 1:3 아래 SR26-BD-BC Item Encyclopedia/Card 영역이 없어 신규 섹션 후보로 분류. 이미지는 흰 배경 단독 제품컷으로 확인.,,신규 섹션 후보,SR26-BD-BC-P032,승인,https://www.bioderma.co.kr/,2026년 5월 29일 오후 2:22,,바이오더마,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/494/002/006/7f030f4c2d4041ec877b5ea5897772ec.jpg,바디케어,샤워 후 가려움이 올라오는 사람; 겨울이 아니어도 바디가 건조한 사람; 향 강한 바디로션이 부담스러운 사람,"샤워 뒤 팔과 다리가 금방 당기는 날, 바르는 단계가 길어지지 않게 진정감을 보탠다.",바디관리,"바디케어, 장벽케어, 건조가려움",건조와 가려움까지 보는 바디 장벽 케어가 겨울 외 시즌에도 유효.,보통
멜킨 EVA 폼롤러,,,,SR26-BD-FT-P039,검수 필요,https://melkinsports.com/,2026년 5월 29일 오후 2:22,,멜킨스포츠,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/713/049/020/39ba9f7dbcf8421dbf0c4e0c0239e252.jpg,운동회복,,,바디관리,,홈트와 러닝 후 회복 루틴이 자기관리 콘텐츠로 확장됨.,보통
바버501 쉐이빙부스터 스무디,토큰 교체 후 REST health check 통과. 이미지 시각 확인: 제품 옆 패키지와 홍보 문구가 크게 포함되어 누끼/단독컷 기준 미충족. 누끼 이미지 필요. 추가로 Figma node 1:3 아래 SR26-BD-SH base code 섹션도 확인되지 않음.,,수정 필요,SR26-BD-SH-P035,승인,https://barber501.com/,2026년 5월 29일 오후 2:22,,바버501,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/244/852/013/06bc7fb8ea5c411aa60471bf08c733df.jpg,체모·면도,,,바디관리,,남성 면도 자극과 그루밍 루틴에 바로 연결되는 국내 브랜드.,높음
세타필 모이스춰라이징 로션,,,,SR26-BD-BC-P033,검수 필요,https://www.cetaphil.co.kr/,2026년 5월 29일 오후 2:22,,세타필,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/663/802/016/9d074c03a7154d51a50e7abdb875f2d4.jpg,바디케어,,,바디관리,,온가족 저자극 보습 브랜드로 대중성이 높고 남성 입문 장벽이 낮음.,보통
질레트 랩스 면도기,"Figma 백과사전용 node 108:15698의 Auto Layout / Item Encyclopedia Grid > Auto Layout / Item Row 3에 SR26-GR-SH-C1 / 면도기 Item Encyclopedia Card를 생성. 질레트 랩스 면도기는 Product Recommendation Area 안의 SR26-GR-SH-P036 / 프리미엄 추천 제품 - 질레트 랩스 면도기 Product Card로 반영. 같은 섹션 안에 가성비 추천 제품(P2), 입문용 추천 제품(P3) placeholder를 남겨 향후 면도기 제품 추가 가능하게 정리. 이전 하단 단독 면도기 추천 행은 남아 있지 않음. 2026-06-02 KST.",1,반영 완료,SR26-BD-SH-P036,승인,https://gillette.co.kr/,2026년 5월 29일 오후 2:22,,질레트,4,SR26-GR-SH,일반 제품컷 있음,https://img.danuri.io/catalog-image/067/355/108/27bef0d3aa9b45358b7c35973bcef7ce.jpg,체모·면도,"면도 후 턱 밑이 붉게 올라와 오전 내내 신경 쓰이는 사람
급하게 밀다가 같은 부위를 여러 번 지나가 피부가 따가운 사람
전기면도기는 덜 깎이고 일반 날면도기는 자극이 부담스러운 사람",턱선이 자주 붉어지는 날엔 날을 덜 밀어붙이는 면도기가 아침 얼굴 자극을 줄여준다.,바디관리,면도 자극 / 턱선 정리 / 출근 전 / 날면도기,면도기는 남성 자기관리의 기본템이고 비교 콘텐츠로 활용 가능.,보통
잠스트 무릎 보호대 EK-3,,,,SR26-BD-FT-P040,검수 필요,https://www.zamst.co.kr/,2026년 5월 29일 오후 2:22,,잠스트,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/502/256/003/07e026fbee3a4362a332c42c89b771b6.jpg,운동회복,,,바디관리,,러닝과 테니스 인구 증가로 관절 보호·회복템 관심이 커짐.,보통
필립스 원블레이드,토큰 교체 후 REST health check 통과. 이미지 시각 확인: 흰 배경 단독 제품컷으로 사용 가능. Figma node 1:3 아래 SR26-BD-SH base code 제품 카드 섹션이 없어 SR26-GR-SH 영역에 임의 매핑하지 않음. 필요한 섹션/제품군: SR26-BD-SH / 체모·면도.,,신규 섹션 후보,SR26-BD-SH-P038,승인,https://www.philips.co.kr/,2026년 5월 29일 오후 2:22,,필립스,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/634/988/078/710ebd5981734dc7b67e9864d0965d5c.jpg,체모·면도,,,바디관리,,수염 라인 정리와 바디 트리밍까지 연결되는 멀티 그루밍 수요.,높음
LG 퓨리케어 오브제컬렉션 공기청정기,,,,SR26-SP-HC-P048,검수 필요,https://www.lge.co.kr/air-purifier,2026년 5월 29일 오후 2:24,,LG전자,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/138/182/105/b754f99d179f4d7085601c3f77ad6356.jpg,홈케어,,,공간관리,,실내 공기와 수면·피부 컨디션을 함께 보는 홈 웰니스 흐름.,보통
오쏘몰 이뮨 멀티비타민,영양제 섹션 필요,,신규 섹션 후보,SR26-FD-SU-P045,승인,https://www.orthomol.com/,2026년 5월 29일 오후 2:24,,오쏘몰,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/474/468/009/4ac6a20d500d47cda0cf25db8e3c9b86.jpg,영양제,,,식단관리,,고관여 멀티비타민과 선물형 웰니스 제품 수요가 있음.,보통
뉴트리원 수면엔 락티움,,,,SR26-SL-RS-P041,검수 필요,https://www.nutrione.co.kr/,2026년 5월 29일 오후 2:24,,뉴트리원,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/084/755/096/eb44fc97895a4a6a9fca8da340736af6.jpg,영양제,,,수면관리,,수면 질 개선이 웰니스 자기관리 핵심 관심사로 자리잡음.,높음
정관장 홍삼정 에브리타임,,,,SR26-FD-SU-P044,검수 필요,https://www.kgcshop.co.kr/,2026년 5월 29일 오후 2:24,,정관장,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/230/954/001/8169472407bc4f24ad6ed6fda0d6e023.jpg,영양제,,,식단관리,,직장인 피로 관리와 선물 맥락이 강한 고인지도 제품.,낮음
미로 완벽세척 가습기 NR07SR,Figma 백과사전용 node 108:15698의 Auto Layout / Product Placeholder Row / 가습기 내 SR26-SP-HM-P047 제품 카드로 반영. 이전 오배치 카드 제거 완료. 2026-06-02 KST.,1,반영 완료,SR26-SP-HM-P047,승인,https://www.gomiro.com/,2026년 5월 29일 오후 2:24,,미로,5,SR26-SP-HM,일반 제품컷 있음,https://img.danuri.io/catalog-image/205/537/005/e11eece9829042779a8df6fe467fb660.jpg,가습기,"아침마다 목이 칼칼한데 가습기 청소가 귀찮아 미뤄온 사람
침실 습도가 낮아 자고 나면 얼굴과 입술이 쉽게 마르는 사람
물통 안쪽 세척이 불안해서 가습기 사용을 접었던 사람",밤새 마른 공기를 방치하지 않으면 아침 목 따가움과 푸석한 얼굴 컨디션이 덜 무너진다.,공간관리,완전 세척 / 침실 습도 / 취침 전 / 건조한 아침,세척 편의성과 위생이 가습기 선택 기준으로 강함.,높음
고려은단 비타민C 1000,,,,SR26-FD-SU-P043,검수 필요,https://www.koreaeundan.com/,2026년 5월 29일 오후 2:24,,고려은단,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/426/012/002/86fb6a9b98574da0bc152f8c1490a83f.jpg,영양제,,,식단관리,,기본 영양제 루틴의 대표 제품으로 접근성과 인지도가 높음.,보통
LG 스타일러 오브제컬렉션,,,,SR26-ST-CL-P050,검수 필요,https://www.lge.co.kr/styler,2026년 5월 29일 오후 2:24,,LG전자,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/999/618/077/10821cb4e3e24598adfb63ae81a8613a.jpg,의류관리,,,스타일관리,,의류 냄새와 관리가 외모 관리뿐 아니라 위생·공간관리까지 이어짐.,보통
삼성 비스포크 슈드레서,,,,SR26-ST-CL-P049,검수 필요,https://www.samsung.com/sec/,2026년 5월 29일 오후 2:24,,삼성전자,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/448/064/018/e1d5911f941943ef86c1211198b05db5.jpg,의류관리,,,스타일관리,,운동화와 출근화 관리가 스타일·위생관리로 연결됨.,보통
발뮤다 레인 기화식 가습기,,,,SR26-SP-HM-P046,검수 필요,https://www.balmuda.co.kr/,2026년 5월 29일 오후 2:24,,발뮤다,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/651/642/005/fa8eba44020e475695c8ed84037ff0ce.jpg,가습기,,,공간관리,,수면 환경과 공간 컨디션을 관리하는 프리미엄 가전 관심.,낮음
종근당건강 락토핏 생유산균 골드,,,,SR26-FD-SU-P042,검수 필요,https://www.ckdhc.com/,2026년 5월 29일 오후 2:24,,종근당건강,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/933/590/018/1baa9a667ed4401eab86ae4e40261f8b.jpg,영양제,,,식단관리,,장 건강과 컨디션 관리는 남성 데일리 웰니스 콘텐츠로 안정적.,보통
리얼베리어 크림 클렌징 폼,,,,SR26-SK-CL-P105,검수 필요,https://realbarrier.com,2026년 5월 30일 오후 2:20,,Real Barrier,4,,누끼/단독컷 있음,https://koreanskincare.pt/cdn/shop/files/70842-2_2dbbbf29-7210-412a-bd82-06ddff6e9cbe.jpg?v=1758453105,클렌징,,,피부관리,,훅: 장벽 크림 브랜드의 세안제 / 문제: 클렌징 단계에서 보습 루틴이 끊김 / 각도: 장벽케어와 이어지는 폼클렌저 / 근거: 리얼베리어는 장벽 케어 브랜드 맥락이 강해 세안 후 보습 루틴 연결이 쉬움 / 포지션: 밸런스 / 대상: 민감·건조 남성 / 연결: SR26-SK-CL-M1 세안/클렌징 루틴,보통
한율 어린쑥 수분진정 클렌징 폼,,,,SR26-SK-CL-P107,검수 필요,https://www.hanyul.com,2026년 5월 30일 오후 2:20,,Hanyul,3,,누끼/단독컷 있음,https://sarroo.com/cdn/shop/files/sg-11134201-7rdxr-lz0h4443ppia6e.jpg?v=1748152897&width=1946,클렌징,,,피부관리,,훅: 쑥 진정 세안으로 붉은기 낮추기 / 문제: 세안 후 얼굴이 쉽게 붉어짐 / 각도: 한국 원료 스토리의 순한 폼클렌저 / 근거: 한율 어린쑥 라인은 국내 진정 원료 스토리가 명확해 루틴 설명력이 좋음 / 포지션: 피부타입특화 / 대상: 붉은기와 민감함이 있는 남성 / 연결: SR26-SK-CL-M1 세안/클렌징 루틴,보통
조선미녀 맑은쌀 선크림 라이스+프로바이오틱스,,,,SR26-SK-SS-P101,검수 필요,https://beautyofjoseon.com,2026년 5월 30일 오후 2:20,,Beauty of Joseon,5,,누끼/단독컷 있음,https://d2c3d01lcpw2ui.cloudfront.net/gl/data/item/1635737523/sun17576678731042cc4ef667efc.jpg,선케어,,,피부관리,,훅: 백탁 싫은 남자 선크림 / 문제: 매일 바르기엔 끈적임과 들뜸이 부담 / 각도: 수분크림처럼 끝나는 데일리 SPF / 근거: 조선미녀는 K-뷰티 선케어 대표 검색·구매 브랜드로 해외와 국내 동시 인지도가 높음 / 포지션: 밸런스 / 대상: 선크림 초보 남성 / 연결: SR26-SK-SS-M1 선크림 루틴,보통
메디힐 티트리 수딩 선크림,,,,SR26-SK-SS-P109,검수 필요,https://mediheal.com,2026년 5월 30일 오후 2:20,,Mediheal,4,,누끼/단독컷 있음,https://sitem.ssgcdn.com/29/24/71/item/2097001712429_i1_1200.jpg,선케어,,,피부관리,,훅: 트러블 피부가 고르는 진정 선크림 / 문제: 유분 많은 피부는 선크림 후 번들거림이 커짐 / 각도: 티트리 진정 키워드로 여드름 루틴에 연결 / 근거: 메디힐 티트리 라인은 패드·마스크팩과 함께 국내 진정 카테고리 인지도가 높음 / 포지션: 피부타입특화 / 대상: 지성·트러블 남성 / 연결: SR26-SK-SS-M1 선크림 루틴,높음
